family,old_image,new_image,old_label,new_label
frame,813282274_3163237170542560_2816170267688761032_n.jpg,frame_0236.jpg,813282274_3163237170542560_2816170267688761032_n.txt,frame_0236.txt
frame,814338537_10231433125040713_6229281902451332653_n.jpg,frame_0237.jpg,814338537_10231433125040713_6229281902451332653_n.txt,frame_0237.txt
frame,814779632_10231433124320695_227545632473398281_n.jpg,frame_0238.jpg,814779632_10231433124320695_227545632473398281_n.txt,frame_0238.txt
frame,814785672_10231433119120565_7400050866881396941_n.jpg,frame_0239.jpg,814785672_10231433119120565_7400050866881396941_n.txt,frame_0239.txt
frame,PXL_20260723_022616689.RAW-01.jpg,frame_0240.jpg,PXL_20260723_022616689.RAW-01.txt,frame_0240.txt
frame,PXL_20260727_233751351.RAW-01.jpg,frame_0241.jpg,PXL_20260727_233751351.RAW-01.txt,frame_0241.txt
frame,PXL_20260815_053046088.RAW-01.jpg,frame_0242.jpg,PXL_20260815_053046088.RAW-01.txt,frame_0242.txt
frame,PXL_20260822_205020911.RAW-01.jpg,frame_0243.jpg,PXL_20260822_205020911.RAW-01.txt,frame_0243.txt
frame,PXL_20260822_205910779.RAW-01.jpg,frame_0244.jpg,PXL_20260822_205910779.RAW-01.txt,frame_0244.txt
frame,PXL_20260831_135058750.RAW-01.jpg,frame_0245.jpg,PXL_20260831_135058750.RAW-01.txt,frame_0245.txt
frame,PXL_20260831_142604038.RAW-01.jpg,frame_0246.jpg,PXL_20260831_142604038.RAW-01.txt,frame_0246.txt
frame,PXL_20260910_005306710.RAW-01.jpg,frame_0247.jpg,PXL_20260910_005306710.RAW-01.txt,frame_0247.txt
frame,PXL_20260910_005308807.RAW-01.jpg,frame_0248.jpg,PXL_20260910_005308807.RAW-01.txt,frame_0248.txt
frame,WhatsApp Image 2026-07-28 at 18.55.23.jpeg,frame_0249.jpeg,WhatsApp Image 2026-07-28 at 18.55.23.txt,frame_0249.txt
frame,WhatsApp Image 2026-08-05 at 20.32.04.jpeg,frame_0250.jpeg,WhatsApp Image 2026-08-05 at 20.32.04.txt,frame_0250.txt
frame,WhatsApp Image 2026-08-07 at 17.44.15.jpeg,frame_0251.jpeg,WhatsApp Image 2026-08-07 at 17.44.15.txt,frame_0251.txt
frame,WhatsApp Image 2026-08-07 at 17.48.41.jpeg,frame_0252.jpeg,WhatsApp Image 2026-08-07 at 17.48.41.txt,frame_0252.txt
frame,WhatsApp Image 2026-08-07 at 18.01.59.jpeg,frame_0253.jpeg,WhatsApp Image 2026-08-07 at 18.01.59.txt,frame_0253.txt
frame,WhatsApp Image 2026-08-07 at 20.37.04.jpeg,frame_0254.jpeg,WhatsApp Image 2026-08-07 at 20.37.04.txt,frame_0254.txt
frame,WhatsApp Image 2026-08-08 at 13.52.37.jpeg,frame_0255.jpeg,WhatsApp Image 2026-08-08 at 13.52.37.txt,frame_0255.txt
frame,WhatsApp Image 2026-08-10 at 10.19.52.jpeg,frame_0256.jpeg,WhatsApp Image 2026-08-10 at 10.19.52.txt,frame_0256.txt
frame,WhatsApp Image 2026-08-23 at 14.56.22.jpeg,frame_0257.jpeg,WhatsApp Image 2026-08-23 at 14.56.22.txt,frame_0257.txt
frame,WhatsApp Image 2026-08-29 at 18.18.02.jpeg,frame_0258.jpeg,WhatsApp Image 2026-08-29 at 18.18.02.txt,frame_0258.txt
frame,WhatsApp Image 2026-08-31 at 20.38.29.jpeg,frame_0259.jpeg,WhatsApp Image 2026-08-31 at 20.38.29.txt,frame_0259.txt
frame,WhatsApp Image 2026-09-13 at 19.19.06.jpeg,frame_0260.jpeg,WhatsApp Image 2026-09-13 at 19.19.06.txt,frame_0260.txt
frame,WhatsApp Image 2026-09-14 at 16.53.40.jpeg,frame_0261.jpeg,WhatsApp Image 2026-09-14 at 16.53.40.txt,frame_0261.txt
frame,WhatsApp Image 2026-09-14 at 17.20.39.jpeg,frame_0262.jpeg,WhatsApp Image 2026-09-14 at 17.20.39.txt,frame_0262.txt
frame,WhatsApp Image 2026-09-14 at 18.48.49.jpeg,frame_0263.jpeg,WhatsApp Image 2026-09-14 at 18.48.49.txt,frame_0263.txt
